"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","PIAAC_CATEGORY","Category","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Value","Flag Codes","Flags"
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2016","2016",67,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2016","2016",5.9,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2016","2016",70,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2016","2016",4.1,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2016","2016",76,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2016","2016",2.3,,
"AUS","Australia","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2016","2016",72,,
"AUS","Australia","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2016","2016",2.2,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2016","2016",23,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2016","2016",7.2,,
