"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","AUS","Australia","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2001","2001",,,"0","Units",,,95.2,,
"1","Country","AUS","Australia","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2004","2004",,,"0","Units",,,94.8,,
"1","Country","AUS","Australia","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,95.2,,
"1","Country","AUS","Australia","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2010","2010",,,"0","Units",,,93.8,,
"1","Country","AUS","Australia","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2013","2013",,,"0","Units",,,93.9,,
"2","Large regions (TL2)","AU1","New South Wales","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2001","2001",,,"0","Units",,,95.12,,
"2","Large regions (TL2)","AU1","New South Wales","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2004","2004",,,"0","Units",,,95.11,,
"2","Large regions (TL2)","AU1","New South Wales","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,95.4,,
"2","Large regions (TL2)","AU1","New South Wales","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2010","2010",,,"0","Units",,,93.98,,
"2","Large regions (TL2)","AU1","New South Wales","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2013","2013",,,"0","Units",,,93.96,,
"2","Large regions (TL2)","AU2","Victoria","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2001","2001",,,"0","Units",,,95.58,,
"2","Large regions (TL2)","AU2","Victoria","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2004","2004",,,"0","Units",,,95.43,,
"2","Large regions (TL2)","AU2","Victoria","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,95.6,,
