"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2010","2010",151.3,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2011","2011",155.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2012","2012",156.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2013","2013",152.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2014","2014",158.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2015","2015",159.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2016","2016",160.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2017","2017",159,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2018","2018",160.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2019","2019",159.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2010","2010",174.2,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2011","2011",173.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2012","2012",172.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2013","2013",171.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2014","2014",162.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2015","2015",163.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2016","2016",162.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2017","2017",165.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2018","2018",166.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2019","2019",164.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2010","2010",161.3,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2011","2011",167.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2012","2012",161.6,,
