"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2008","2008","MXN","Mexican Peso","0","Units",,,7.086266,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2009","2009","MXN","Mexican Peso","0","Units",,,7.292455,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2010","2010","MXN","Mexican Peso","0","Units",,,7.54238,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2011","2011","MXN","Mexican Peso","0","Units",,,7.692286,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2012","2012","MXN","Mexican Peso","0","Units",,,7.872281,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2013","2013","MXN","Mexican Peso","0","Units",,,7.962215,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2014","2014","MXN","Mexican Peso","0","Units",,,8.18118,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2015","2015","MXN","Mexican Peso","0","Units",,,8.242709,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2016","2016","MXN","Mexican Peso","0","Units",,,8.260157,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2017","2017","MXN","Mexican Peso","0","Units",,,8.776086,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2018","2018","MXN","Mexican Peso","0","Units",,,9.004724,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2019","2019","MXN","Mexican Peso","0","Units",,,9.455289,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2020","2020","MXN","Mexican Peso","0","Units",,,9.755652,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2021","2021","MXN","Mexican Peso","0","Units",,,10.106036,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2008","2008","EUR","Euro","0","Units",,,0.679923,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2009","2009","EUR","Euro","0","Units",,,0.716958,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2010","2010","EUR","Euro","0","Units",,,0.754309,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2011","2011","EUR","Euro","0","Units",,,0.718414,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2012","2012","EUR","Euro","0","Units",,,0.778338,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2013","2013","EUR","Euro","0","Units",,,0.752945,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2014","2014","EUR","Euro","0","Units",,,0.752728,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2015","2015","EUR","Euro","0","Units",,,0.901296,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2016","2016","EUR","Euro","0","Units",,,0.903421,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2017","2017","EUR","Euro","0","Units",,,0.885206,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2018","2018","EUR","Euro","0","Units",,,0.846773,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2019","2019","EUR","Euro","0","Units",,,0.893276,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2020","2020","EUR","Euro","0","Units",,,0.875506,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.845494,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2022","2022","EUR","Euro","0","Units",,,0.949624,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2008","2008","NZD","New Zealand Dollar","0","Units",,,1.422727,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2009","2009","NZD","New Zealand Dollar","0","Units",,,1.600877,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2010","2010","NZD","New Zealand Dollar","0","Units",,,1.387834,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2011","2011","NZD","New Zealand Dollar","0","Units",,,1.265811,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2012","2012","NZD","New Zealand Dollar","0","Units",,,1.234284,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2013","2013","NZD","New Zealand Dollar","0","Units",,,1.219408,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2014","2014","NZD","New Zealand Dollar","0","Units",,,1.205433,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2015","2015","NZD","New Zealand Dollar","0","Units",,,1.433975,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2016","2016","NZD","New Zealand Dollar","0","Units",,,1.436525,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2017","2017","NZD","New Zealand Dollar","0","Units",,,1.407408,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2018","2018","NZD","New Zealand Dollar","0","Units",,,1.445258,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2019","2019","NZD","New Zealand Dollar","0","Units",,,1.517875,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2020","2020","NZD","New Zealand Dollar","0","Units",,,1.542058,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2021","2021","NZD","New Zealand Dollar","0","Units",,,1.4138,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2022","2022","NZD","New Zealand Dollar","0","Units",,,1.577183,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","EUR","Euro","0","Units",,,0.53743,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","EUR","Euro","0","Units",,,0.515558,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","EUR","Euro","0","Units",,,0.502111,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","EUR","Euro","0","Units",,,0.506407,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","EUR","Euro","0","Units",,,0.504542,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","EUR","Euro","0","Units",,,0.491124,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","EUR","Euro","0","Units",,,0.485412,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","EUR","Euro","0","Units",,,0.491548,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","EUR","Euro","0","Units",,,0.503194,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2017","2017","EUR","Euro","0","Units",,,0.516433,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2018","2018","EUR","Euro","0","Units",,,0.526001,,
