"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1985","1985","PC","Percentage","0","Units",,,5.388679,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1986","1986","PC","Percentage","0","Units",,,5.192259,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1987","1987","PC","Percentage","0","Units",,,5.216285,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1988","1988","PC","Percentage","0","Units",,,5.335515,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,5.075699,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,3.476077,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,2.818643,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,3.212469,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,3.230617,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1994","1994","PC","Percentage","0","Units",,,3.823282,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1995","1995","PC","Percentage","0","Units",,,4.04006,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1996","1996","PC","Percentage","0","Units",,,4.329027,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1997","1997","PC","Percentage","0","Units",,,4.883111,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1998","1998","PC","Percentage","0","Units",,,4.543,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1999","1999","PC","Percentage","0","Units",,,4.684667,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2000","2000","PC","Percentage","0","Units",,,4.567652,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2001","2001","PC","Percentage","0","Units",,,4.140503,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2002","2002","PC","Percentage","0","Units",,,4.850716,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2003","2003","PC","Percentage","0","Units",,,4.82945,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2004","2004","PC","Percentage","0","Units",,,5.186301,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2005","2005","PC","Percentage","0","Units",,,5.812782,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2006","2006","PC","Percentage","0","Units",,,5.576552,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2007","2007","PC","Percentage","0","Units",,,6.144174,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2008","2008","PC","Percentage","0","Units",,,5.558461,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2009","2009","PC","Percentage","0","Units",,,5.075354,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2010","2010","PC","Percentage","0","Units",,,4.926346,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2011","2011","PC","Percentage","0","Units",,,5.736916,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2012","2012","PC","Percentage","0","Units",,,5.335169,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2013","2013","PC","Percentage","0","Units",,,4.23405,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2014","2014","PC","Percentage","0","Units",,,3.412788,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2015","2015","PC","Percentage","0","Units",,,2.487725,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2016","2016","PC","Percentage","0","Units",,,2.227293,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2017","2017","PC","Percentage","0","Units",,,2.478244,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2018","2018","PC","Percentage","0","Units",,,2.238673,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2019","2019","PC","Percentage","0","Units",,,1.912665,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2020","2020","PC","Percentage","0","Units",,,2.006041,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","2021","2021","PC","Percentage","0","Units",,,2.319714,,
"AUS","Australia","T_MFP","Multifactor productivity","GRW","Annual growth/change","1985","1985","PC","Percentage","0","Units",,,-0.60803,,
