"LOCATION","Country","MEA","Overall measure","VAR","Components","POP","Age","SEX","Sex","EDU","Education","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2005","2005","USD","US Dollar","0","Units",,,25.0969791412354,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2006","2006","USD","US Dollar","0","Units",,,25.1724586486816,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2007","2007","USD","US Dollar","0","Units",,,24.8928928375244,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2008","2008","USD","US Dollar","0","Units",,,26.0062503814697,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2009","2009","USD","US Dollar","0","Units",,,25.9034271240234,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2010","2010","USD","US Dollar","0","Units",,,26.589282989502,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2011","2011","USD","US Dollar","0","Units",,,27.0165634155273,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2012","2012","USD","US Dollar","0","Units",,,26.6293716430664,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2013","2013","USD","US Dollar","0","Units",,,26.4806880950928,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2014","2014","USD","US Dollar","0","Units",,,26.9199466705322,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2015","2015","USD","US Dollar","0","Units",,,26.9247207641602,,
"AUS","Australia","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2016","2016","USD","US Dollar","0","Units",,,27.284143447876,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2007","2007","PC","Percentage","0","Units",,,0.693241357803345,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2008","2008","PC","Percentage","0","Units",,,1.94831037521362,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2009","2009","PC","Percentage","0","Units",,,1.69914591312408,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,1.85126435756683,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2011","2011","PC","Percentage","0","Units",,,2.39862442016602,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2012","2012","PC","Percentage","0","Units",,,1.74774491786957,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2013","2013","PC","Percentage","0","Units",,,2.3181586265564,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2014","2014","PC","Percentage","0","Units",,,1.65096247196198,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,1.49708247184753,,
"AUS","Australia","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2016","2016","PC","Percentage","0","Units",,,1.36026215553284,,
"AUS","Australia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,12.561541557312,,
"AUS","Australia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,12.4924716949463,,
"AUT","Austria","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2005","2005","USD","US Dollar","0","Units",,,28.5348300933838,,
"AUT","Austria","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2006","2006","USD","US Dollar","0","Units",,,29.3578014373779,,
"AUT","Austria","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2007","2007","USD","US Dollar","0","Units",,,29.199010848999,,
"AUT","Austria","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2008","2008","USD","US Dollar","0","Units",,,30.8528537750244,,
"AUT","Austria","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2009","2009","USD","US Dollar","0","Units",,,32.1717376708984,,
"AUT","Austria","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2010","2010","USD","US Dollar","0","Units",,,30.6400928497314,,
"AUT","Austria","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2011","2011","USD","US Dollar","0","Units",,,30.8814563751221,,
"AUT","Austria","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2012","2012","USD","US Dollar","0","Units",,,31.2776355743408,,
"AUT","Austria","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2013","2013","USD","US Dollar","0","Units",,,31.2136707305908,,
"AUT","Austria","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2014","2014","USD","US Dollar","0","Units",,,31.8529586791992,,
"AUT","Austria","EQ","Earnings quality","3","Earnings quality (in constant prices, at constant PPPs)","TP","Total","TP","Total","HS","High skilled","2015","2015","USD","US Dollar","0","Units",,,32.2867431640625,,
"AUT","Austria","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2007","2007","PC","Percentage","0","Units",,,0.950553357601166,,
"AUT","Austria","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2008","2008","PC","Percentage","0","Units",,,0.587984025478363,,
"AUT","Austria","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2009","2009","PC","Percentage","0","Units",,,1.04912090301514,,
"AUT","Austria","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,0.995721459388733,,
"AUT","Austria","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2011","2011","PC","Percentage","0","Units",,,0.755533695220947,,
"AUT","Austria","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2012","2012","PC","Percentage","0","Units",,,0.746028542518616,,
"AUT","Austria","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2013","2013","PC","Percentage","0","Units",,,1.36353075504303,,
"AUT","Austria","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2014","2014","PC","Percentage","0","Units",,,1.24714064598084,,
"AUT","Austria","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,1.49808168411255,,
"AUT","Austria","LMI","Labour market insecurity","2","Labour market insecurity","TP","Total","TP","Total","HS","High skilled","2016","2016","PC","Percentage","0","Units",,,1.60506308078766,,
