"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2000","2000",9.0643429144517,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2001","2001",9.7053336527053,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2002","2002",8.1940078859132,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2003","2003",8.5537120478376,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2004","2004",10.406552626267,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2005","2005",10.227505547924,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2006","2006",9.256329140361,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2007","2007",12.929218923663,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2008","2008",10.280546965814,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2009","2009",12.911957189689,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2010","2010",12.118003955344,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2011","2011",11.08359335604,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2012","2012",11.515649043012,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2013","2013",10.189658912394,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2014","2014",9.1377811252208,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2015","2015",9.3727121470002,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2016","2016",9.3529399697716,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2017","2017",7.7258855796346,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2018","2018",7.4309860255598,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2019","2019",7.9532168660051,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2020","2020",6.3780701510193,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2021","2021",7.0065221118013,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2000","2000",6.9715992034133,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2001","2001",7.7687444725547,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2002","2002",7.7456116989719,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2003","2003",8.3500721353454,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2004","2004",8.6312762125027,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2005","2005",10.398280996437,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2006","2006",11.222657870176,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2007","2007",12.650825287329,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2008","2008",13.997726659135,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2009","2009",11.253096332737,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2010","2010",10.217862909644,"E","Estimated value"
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2011","2011",11.367839651581,"E","Estimated value"
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one hundrend thousand inhabitants","2012","2012",10.782740265283,"E","Estimated value"
