"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","PIAAC_CATEGORY","Category","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Value","Flag Codes","Flags"
"AUT","Austria","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_CULT_SPORT","Percentage of adults who participated in any cultural or sporting activities in the last 12 months","VALUE","Value","2015","2015",50,,
"AUT","Austria","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_CULT_SPORT","Percentage of adults who participated in any cultural or sporting activities in the last 12 months","VALUE","Value","2015","2015",82,,
"AUT","Austria","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_CULT_SPORT","Percentage of adults who participated in any cultural or sporting activities in the last 12 months","VALUE","Value","2015","2015",92,,
"AUT","Austria","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_CULT_SPORT","Percentage of adults who participated in any cultural or sporting activities in the last 12 months","VALUE","Value","2015","2015",80,,
"AUT","Austria","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_FRIENDS","Percentage of adults who get together with friends living outside their household at least once a week","VALUE","Value","2015","2015",45,,
"AUT","Austria","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_FRIENDS","Percentage of adults who get together with friends living outside their household at least once a week","VALUE","Value","2015","2015",48,,
"AUT","Austria","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_FRIENDS","Percentage of adults who get together with friends living outside their household at least once a week","VALUE","Value","2015","2015",51,,
"AUT","Austria","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_FRIENDS","Percentage of adults who get together with friends living outside their household at least once a week","VALUE","Value","2015","2015",48,,
"AUT","Austria","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_VOLUNTEER","Percentgae of adults who participated in formal voluntary activities in the last 12 months","VALUE","Value","2015","2015",15,,
"AUT","Austria","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_VOLUNTEER","Percentgae of adults who participated in formal voluntary activities in the last 12 months","VALUE","Value","2015","2015",31,,
"AUT","Austria","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_VOLUNTEER","Percentgae of adults who participated in formal voluntary activities in the last 12 months","VALUE","Value","2015","2015",36,,
"AUT","Austria","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_VOLUNTEER","Percentgae of adults who participated in formal voluntary activities in the last 12 months","VALUE","Value","2015","2015",30,,
"AUT","Austria","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_HELP","Percentgae of adults who have someone to ask for help","VALUE","Value","2015","2015",91,,
"AUT","Austria","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_HELP","Percentgae of adults who have someone to ask for help","VALUE","Value","2015","2015",96,,
"AUT","Austria","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_HELP","Percentgae of adults who have someone to ask for help","VALUE","Value","2015","2015",97,,
"AUT","Austria","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_HELP","Percentgae of adults who have someone to ask for help","VALUE","Value","2015","2015",96,,
"AUT","Austria","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_SOCMEDIA","Percentage of adults who actively participate in social media on a daily basis","VALUE","Value","2015","2015",24,,
"AUT","Austria","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","EUSILC_PERC_SOCMEDIA","Percentage of adults who actively participate in social media on a daily basis","VALUE","Value","2015","2015",32,,
