"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","TOTNET","PC_GDP","A","2019",24.89,
"AUT","SOCEXP","TOTNET","PC_GDP","A","2019",24.754,
"BEL","SOCEXP","TOTNET","PC_GDP","A","2019",25.614,
"CZE","SOCEXP","TOTNET","PC_GDP","A","2019",17.975,
"DNK","SOCEXP","TOTNET","PC_GDP","A","2019",24.652,
"FIN","SOCEXP","TOTNET","PC_GDP","A","2019",24.406,
"FRA","SOCEXP","TOTNET","PC_GDP","A","2019",30.095,
"DEU","SOCEXP","TOTNET","PC_GDP","A","2019",25.404,
"ISL","SOCEXP","TOTNET","PC_GDP","A","2019",21.419,
"IRL","SOCEXP","TOTNET","PC_GDP","A","2019",13.426,
"ITA","SOCEXP","TOTNET","PC_GDP","A","2019",24.442,
"KOR","SOCEXP","TOTNET","PC_GDP","A","2019",15.517,
"LUX","SOCEXP","TOTNET","PC_GDP","A","2019",17.865,
"MEX","SOCEXP","TOTNET","PC_GDP","A","2019",7.493,
"NLD","SOCEXP","TOTNET","PC_GDP","A","2019",25.251,
"NZL","SOCEXP","TOTNET","PC_GDP","A","2019",21.542,
"NOR","SOCEXP","TOTNET","PC_GDP","A","2019",22.572,
"POL","SOCEXP","TOTNET","PC_GDP","A","2019",17.96,
"PRT","SOCEXP","TOTNET","PC_GDP","A","2019",21.693,
"SVK","SOCEXP","TOTNET","PC_GDP","A","2019",16.995,
"ESP","SOCEXP","TOTNET","PC_GDP","A","2019",23.233,
"SWE","SOCEXP","TOTNET","PC_GDP","A","2019",23.357,
"CHL","SOCEXP","TOTNET","PC_GDP","A","2019",14.464,
"EST","SOCEXP","TOTNET","PC_GDP","A","2019",14.862,
"ISR","SOCEXP","TOTNET","PC_GDP","A","2019",17.224,
"SVN","SOCEXP","TOTNET","PC_GDP","A","2019",19.794,
"OECD","SOCEXP","TOTNET","PC_GDP","A","2019",20.901,
"GRC","SOCEXP","TOTNET","PC_GDP","A","2019",20.681,
"HUN","SOCEXP","TOTNET","PC_GDP","A","2019",15.768,
"TUR","SOCEXP","TOTNET","PC_GDP","A","2019",12.463,
"CHE","SOCEXP","TOTNET","PC_GDP","A","2019",24.089,
"LVA","SOCEXP","TOTNET","PC_GDP","A","2019",14.422,
"LTU","SOCEXP","TOTNET","PC_GDP","A","2019",15.578,
"COL","SOCEXP","TOTNET","PC_GDP","A","2019",15.724,
"CRI","SOCEXP","TOTNET","PC_GDP","A","2019",12.537,
