"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1981",80.579987,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1990",75.055901,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1991",73.311836,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1992",73.091179,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1994",79.132454,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1995",81.755188,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1997",80.148605,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1998",79.085892,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","1999",79.709686,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2000",80.012154,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2001",80.18084,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2002",81.208153,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2003",81.359337,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",82.676079,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",84.239845,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",84.23645,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",84.633499,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",83.333336,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2009",82.433228,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2010",82.047951,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2011",82.064568,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2012",81.329849,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2013",81.130272,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2014",80.34404,
