"LOCATION","Country","MEA","Overall measure","VAR","Components","POP","Age","SEX","Sex","EDU","Education","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,12.561541557312,,
"AUS","Australia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,12.4924716949463,,
"AUT","Austria","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,8.03233051300049,,
"AUT","Austria","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,10.5213794708252,,
"AUT","Austria","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,12.5245895385742,,
"BEL","Belgium","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,15.2946481704712,,
"BEL","Belgium","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,22.6904487609863,,
"BEL","Belgium","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,12.2905321121216,,
"CAN","Canada","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,16.8321628570557,,
"CZE","Czech Republic","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,15.7222528457642,,
"CZE","Czech Republic","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,13.5320472717285,,
"CZE","Czech Republic","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,11.7031373977661,,
"DNK","Denmark","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,7.3661470413208,,
"DNK","Denmark","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,8.33362674713135,,
"DNK","Denmark","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,8.02143669128418,,
"FIN","Finland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,8.86464786529541,,
"FIN","Finland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,4.0661792755127,,
"FIN","Finland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,5.87994384765625,,
"FRA","France","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,19.6068534851074,,
"FRA","France","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,23.1304912567139,,
"FRA","France","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,11.4140768051148,,
"DEU","Germany","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,26.8232250213623,,
"DEU","Germany","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,9.58953094482422,,
"DEU","Germany","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,11.1720819473267,,
"GRC","Greece","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,32.6243057250977,,
"GRC","Greece","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,26.10280418396,,
"GRC","Greece","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,31.0451507568359,,
"HUN","Hungary","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,41.4393692016602,,
"HUN","Hungary","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,16.3398170471191,,
"HUN","Hungary","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,17.8291606903076,,
"IRL","Ireland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,10.7612686157227,,
